date,UF,city,ibgeID,newCases,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,sucetivel,infectado,Recuperado
2020-07-19,PR,Pinhais/PR,4119152,,,18378.686146535187,,,114235.19338346476,10613.57959872414,7765.106547811048
2020-07-20,PR,Pinhais/PR,4119152,,,19562.621023770396,,,113051.25850622957,11255.21451864621,8307.406505124187
2020-07-21,PR,Pinhais/PR,4119152,,,20804.0126673642,,,111809.86686263577,11921.85453183377,8882.158135530433
2020-07-22,PR,Pinhais/PR,4119152,,,22103.284510669513,,,110510.59501933045,12612.701624948253,9490.58288572126
2020-07-23,PR,Pinhais/PR,4119152,,,23460.559245528384,,,109153.32028447157,13326.70269934209,10133.856546186293
2020-07-24,PR,Pinhais/PR,4119152,,,24875.630055421057,,,107738.24947457889,14062.53393194549,10813.096123475567
2020-07-25,PR,Pinhais/PR,4119152,,,26347.938452857787,,,106265.94107714217,14818.592714161883,11529.345738695903
2020-07-26,PR,Pinhais/PR,4119152,,,27876.548888371508,,,104737.33064162846,15592.985553788856,12283.56333458265
2020-07-27,PR,Pinhais/PR,4119152,,,29460.13671703264,,,103153.74281296732,16383.531378437343,13076.605338595296
2020-07-28,PR,Pinhais/PR,4119152,,,31096.97319160262,,,101516.90633839734,17187.760371056145,13909.212820546478
2020-07-29,PR,Pinhais/PR,4119152,,,32784.917959511455,,,99828.9615704885,18002.920451589864,14781.997507921595
2020-07-30,PR,Pinhais/PR,4119152,,,34521.42168932414,,,98092.4578406758,18825.993813428326,15695.42787589581
2020-07-31,PR,Pinhais/PR,4119152,,,36303.53045821379,,,96310.34907178616,19653.714043356107,16649.816414857683
2020-08-01,PR,Pinhais/PR,4119152,,,38127.9001878163,,,94485.97934218364,20482.592308478288,17645.307879338015
2020-08-02,PR,Pinhais/PR,4119152,,,39990.81959314068,,,92623.05993685927,21308.95025599457,18681.869337146112
2020-08-03,PR,Pinhais/PR,4119152,,,41888.23592590453,,,90725.64360409541,22128.954743953127,19759.281181951403
2020-08-04,PR,Pinhais/PR,4119152,,,43815.79175524152,,,88798.08777475842,22938.66112133844,20877.13063390308
2020-08-05,PR,Pinhais/PR,4119152,,,45768.86770323569,,,86845.01182676424,23734.059841371378,22034.80786186432
2020-08-06,PR,Pinhais/PR,4119152,,,47742.62558165331,,,84871.25394834662,24511.12310268829,23231.50247896502
2020-08-07,PR,Pinhais/PR,4119152,,,49732.0661822743,,,82881.81334772563,25265.86003342199,24466.206148852307
2020-08-08,PR,Pinhais/PR,4119152,,,51732.08086483424,,,80881.7986651657,25994.366597150383,25737.71426768386
2020-08-09,PR,Pinhais/PR,4119152,,,53737.5068176015,,,78876.37271239844,26692.875342329382,27044.631475272115
2020-08-10,PR,Pinhais/PR,4119152,,,55743.18597461953,,,76870.6935553804,27357.80593402652,28385.380040593012
2020-08-11,PR,Pinhais/PR,4119152,,,57744.02269985188,,,74869.85683014807,27985.812478169086,29758.210221682788
2020-08-12,PR,Pinhais/PR,4119152,,,59735.03605167239,,,72878.84347832756,28573.82313000739,31161.212921664996
2020-08-13,PR,Pinhais/PR,4119152,,,61711.4137714181,,,70902.46575858183,29119.07933835274,32592.33443306536
2020-08-14,PR,Pinhais/PR,4119152,,,63668.55618147997,,,68945.32334851996,29619.163757098384,34049.39242438159
2020-08-15,PR,Pinhais/PR,4119152,,,65602.1194375265,,,67011.76009247343,30072.02571837262,35530.09371915389
2020-08-16,PR,Pinhais/PR,4119152,,,67508.04985397187,,,65105.829676028065,30475.996932212074,37032.05292175979
2020-08-17,PR,Pinhais/PR,4119152,,,69382.61255062191,,,63231.26697937803,30829.801181818824,38552.81136880308
2020-08-18,PR,Pinhais/PR,4119152,,,71222.4140356996,,,61391.46549430032,31132.556824494473,40089.85721120513
2020-08-19,PR,Pinhais/PR,4119152,,,73024.41655408235,,,59589.46297591758,31383.77237666343,41640.644177418915
2020-08-20,PR,Pinhais/PR,4119152,,,74785.94740944862,,,57827.93212055131,31583.335943504906,43202.61146594371
2020-08-21,PR,Pinhais/PR,4119152,,,76504.70086825645,,,56109.178661743485,31731.499342621944,44773.2015256345
2020-08-22,PR,Pinhais/PR,4119152,,,78178.73547039562,,,54435.14405960432,31828.857620925162,46349.87784947045
2020-08-23,PR,Pinhais/PR,4119152,,,79806.46445086677,,,52807.415079133156,31876.322633937583,47930.141816929194
2020-08-24,PR,Pinhais/PR,4119152,,,81386.64418755581,,,51227.235342444124,31875.09690741907,49511.547280136736
2020-08-25,PR,Pinhais/PR,4119152,,,82918.35700480221,,,49695.52252519772,31826.64299600149,51091.714008800715
2020-08-26,PR,Pinhais/PR,4119152,,,84400.99194927476,,,48212.88758072516,31732.651583938292,52668.34036533647
2020-08-27,PR,Pinhais/PR,4119152,,,85834.22348926534,,,46779.65604073458,31595.010064290218,54239.21342497512
2020-08-28,PR,Pinhais/PR,4119152,,,87217.98752349337,,,45395.89200650655,31415.769249015655,55802.21827447772
2020-08-29,PR,Pinhais/PR,4119152,,,88552.45870994542,,,44061.420820054496,31197.113750787248,57355.344959158174
2020-08-30,PR,Pinhais/PR,4119152,,,89838.02423989921,,,42775.855290100706,30941.329554048367,58896.69468585084
2020-08-31,PR,Pinhais/PR,4119152,,,91075.26169659378,,,41538.61783340613,30650.77774608955,60424.48395050423
2020-09-01,PR,Pinhais/PR,4119152,,,92264.9130108474,,,40348.96651915251,30327.8653735929,61937.0476372545
2020-09-02,PR,Pinhais/PR,4119152,,,93407.86403938924,,,39206.01549061069,29975.0232673238,63432.840772065436
2020-09-03,PR,Pinhais/PR,4119152,,,94505.12047628261,,,38108.7590537173,29594.681568923654,64910.43890735896
2020-09-04,PR,Pinhais/PR,4119152,,,95557.78972791348,,,37056.089802086455,29189.251772554373,66368.5379553591
2020-09-05,PR,Pinhais/PR,4119152,,,96567.0599964583,,,36046.819533541624,28761.10767041448,67805.95232604381
2020-09-06,PR,Pinhais/PR,4119152,,,97534.18465766609,,,35079.694872333836,28312.571388206514,69221.61326945957
2020-09-07,PR,Pinhais/PR,4119152,,,98460.4650897708,,,34153.41444022911,27845.899782801105,70614.5653069697
2020-09-08,PR,Pinhais/PR,4119152,,,99347.23752947139,,,33266.64200052854,27363.27407738657,71983.96345208482
2020-09-09,PR,Pinhais/PR,4119152,,,100195.85971947668,,,32418.01981052325,26866.791247233035,73329.06847224364
2020-09-10,PR,Pinhais/PR,4119152,,,101007.7001285824,,,31606.17940141754,26358.456823478224,74649.24330510417
2020-09-11,PR,Pinhais/PR,4119152,,,101784.12806296241,,,30829.75146703752,25840.180350822106,75943.9477121403
2020-09-12,PR,Pinhais/PR,4119152,,,102526.50507065965,,,30087.374459340284,25313.770936496116,77212.73413416353
2020-09-13,PR,Pinhais/PR,4119152,,,103236.17848184257,,,29377.701048157367,24780.93713218975,78455.24134965282
2020-09-14,PR,Pinhais/PR,4119152,,,103914.47411734163,,,28699.405412658314,24243.282969096043,79671.19114824558
2020-09-15,PR,Pinhais/PR,4119152,,,104562.69229899936,,,28051.187231000582,23702.310173029764,80860.3821259696
2020-09-16,PR,Pinhais/PR,4119152,,,105182.10347618727,,,27431.776053812664,23159.41885636706,82022.68461982021
2020-09-17,PR,Pinhais/PR,4119152,,,105773.94405027264,,,26839.9354797273,22615.9076678003,83158.03638247233
2020-09-18,PR,Pinhais/PR,4119152,,,106339.41555577925,,,26274.46397422068,22072.978979546784,84266.43657623247
2020-09-19,PR,Pinhais/PR,4119152,,,106879.68065690702,,,25734.19887309292,21531.738538757225,85347.94211814979
2020-09-20,PR,Pinhais/PR,4119152,,,107395.86350555118,,,25218.016024448752,20993.20126974266,86402.66223580853
2020-09-21,PR,Pinhais/PR,4119152,,,107889.04803158407,,,24724.831498415868,20458.293720101094,87430.75431148298
2020-09-22,PR,Pinhais/PR,4119152,,,108360.27726442361,,,24253.602265576326,19927.857536632968,88432.41972779065
2020-09-23,PR,Pinhais/PR,4119152,,,108810.5543323692,,,23803.32519763076,19402.654932172733,89407.89940019646
2020-09-24,PR,Pinhais/PR,4119152,,,109240.84108228081,,,23373.038447719133,18883.370755854394,90357.47032642641
2020-09-25,PR,Pinhais/PR,4119152,,,109652.06003456909,,,22961.819495430842,18370.61847361633,91281.44156095276
2020-09-26,PR,Pinhais/PR,4119152,,,110045.09407329076,,,22568.785456709167,17864.943163082517,92180.15091020825
2020-09-27,PR,Pinhais/PR,4119152,,,110420.7875401788,,,22193.091989821143,17366.825898245876,93053.96164193292
2020-09-28,PR,Pinhais/PR,4119152,,,110779.94757455823,,,21833.931955441694,16876.688222801873,93903.25935175637
2020-09-29,PR,Pinhais/PR,4119152,,,111123.3443533671,,,21490.53517663284,16394.895198988812,94728.44915437828
2020-09-30,PR,Pinhais/PR,4119152,,,111451.71315769876,,,21162.16637230118,15921.760177326621,95529.95298037214
2020-10-01,PR,Pinhais/PR,4119152,,,111765.75485829788,,,20848.124671702062,15457.547803725556,96308.20705457233
2020-10-02,PR,Pinhais/PR,4119152,,,112066.13751252455,,,20547.742017475386,15002.477886149349,97063.6596263752
2020-10-03,PR,Pinhais/PR,4119152,,,112353.49763102489,,,20260.381898975054,14556.728818057067,97796.76881296783
2020-10-04,PR,Pinhais/PR,4119152,,,112628.44114826794,,,19985.43838173201,14120.440575572455,98508.00057269548
2020-10-05,PR,Pinhais/PR,4119152,,,112891.54509268329,,,19722.33443731664,13693.718103916166,99197.82698876712
2020-10-06,PR,Pinhais/PR,4119152,,,113143.35840361597,,,19470.521126383963,13276.633975316225,99866.72442829974
2020-10-07,PR,Pinhais/PR,4119152,,,113384.40357828084,,,19229.4759517191,12869.231365235542,100515.1722130453
2020-10-08,PR,Pinhais/PR,4119152,,,113615.17788649467,,,18998.70164350528,12471.526653700736,101143.65123279393
2020-10-09,PR,Pinhais/PR,4119152,,,113836.15394138865,,,18777.72558861129,12083.511622874403,101752.64231851425
2020-10-10,PR,Pinhais/PR,4119152,,,114047.7814273522,,,18566.098102647742,11705.155947692681,102342.62547965952
2020-10-11,PR,Pinhais/PR,4119152,,,114250.48813249837,,,18363.39139750157,11336.40931623552,102914.07881626286
2020-10-12,PR,Pinhais/PR,4119152,,,114444.68073359804,,,18169.198796401917,10977.203495428628,103467.4772381694
2020-10-13,PR,Pinhais/PR,4119152,,,114630.74610448282,,,17983.133425517124,10627.4540870381,104003.29201744472
2020-10-14,PR,Pinhais/PR,4119152,,,114809.05224359692,,,17804.827286403033,10287.062292999164,104521.98995059775
2020-10-15,PR,Pinhais/PR,4119152,,,114979.94907013222,,,17633.930459867737,9955.916686260545,105024.03238387167
2020-10-16,PR,Pinhais/PR,4119152,,,115143.76948649072,,,17470.110043509223,9633.894478789609,105509.87500770112
2020-10-17,PR,Pinhais/PR,4119152,,,115300.83020056896,,,17313.04932943098,9320.862980027672,105979.9672205413
2020-10-18,PR,Pinhais/PR,4119152,,,115451.43250827075,,,17162.447021729196,9016.681079463291,106434.75142880746
2020-10-19,PR,Pinhais/PR,4119152,,,115595.86311841743,,,17018.01641158251,8721.200116358961,106874.66300205847
2020-10-20,PR,Pinhais/PR,4119152,,,115734.39488901757,,,16879.484640982373,8434.265088841103,107300.12980017647
2020-10-21,PR,Pinhais/PR,4119152,,,115867.28753965367,,,16746.591990346275,8155.715844932488,107711.57169472118
2020-10-22,PR,Pinhais/PR,4119152,,,115994.78830835436,,,16619.09122164559,7885.387671528698,108109.40063682565
2020-10-23,PR,Pinhais/PR,4119152,,,116117.13260618439,,,16496.746923815554,7623.112286209763,108494.02031997462
2020-10-24,PR,Pinhais/PR,4119152,,,116234.54464764097,,,16379.334882358979,7368.718752159616,108865.82589548135
2020-10-25,PR,Pinhais/PR,4119152,,,116347.23797419427,,,16266.641555805669,7122.033875485171,109225.2040987091
2020-10-26,PR,Pinhais/PR,4119152,,,116455.41604295092,,,16158.46348704902,6882.883044627875,109572.53299832305
2020-10-27,PR,Pinhais/PR,4119152,,,116559.27276173884,,,16054.606768261097,6651.0908835937125,109908.18187814513
2020-10-28,PR,Pinhais/PR,4119152,,,116658.99290339704,,,15954.886626602905,6426.481460482137,110232.51144291491
2020-10-29,PR,Pinhais/PR,4119152,,,116754.75257743885,,,15859.126952561099,6208.8788054686775,110545.87377197017
2020-10-30,PR,Pinhais/PR,4119152,,,116846.71974136337,,,15767.159788636569,5998.107588445567,110848.6121529178
2020-10-31,PR,Pinhais/PR,4119152,,,116935.05462153969,,,15678.824908460263,5793.993536240002,111141.06108529969
2020-11-01,PR,Pinhais/PR,4119152,,,117019.91003967042,,,15593.969490329533,5596.363578783053,111423.54646088736
2020-03-17,PR,Londrina/PR,4113700,1.0,1.0,1.0,0.0,0.0,574365.2418,1.0,0.0
2020-03-18,PR,Londrina/PR,4113700,0.0,1.0,1.2514275757789493,0.06321582586207927,0.06321582586207927,574364.9903724242,1.1951799376749477,0.056247638104001574
2020-03-19,PR,Londrina/PR,4113700,0.0,1.0,1.5516815042182839,0.30435248209654814,0.30435248209654814,574364.6901184958,1.4282631017510192,0.12341840246726454
2020-03-20,PR,Londrina/PR,4113700,2.0,3.0,1.9097812727830044,1.188576873174646,0.39619229105821535,574364.3320187273,1.7062511836433523,0.2035300891396521
